image,model,avg_dist,cosine_sim,accuracy,correct,total,time,dataset
R_GImag0014.bmp,ST-Bucketed,1.0528219938278198,0.9999653100967407,0.2727930535455861,377,1382,15.782588481903076,web_dataset
R_GImag0015.bmp,Original,0.42691752314567566,0.9999690055847168,0.5890014471780028,814,1382,3.4728026390075684,web_dataset
R_GImag0015.bmp,ST-Continuous,0.774240255355835,0.9999657273292542,0.3306801736613603,457,1382,8.795912981033325,web_dataset
R_GImag0015.bmp,ST-Bucketed,1.5325615406036377,0.9999501705169678,0.030390738060781478,42,1382,8.729182481765747,web_dataset
R_GImag0016.bmp,Original,0.7720694541931152,0.999954342842102,0.42257597684515197,584,1382,6.600320339202881,web_dataset
R_GImag0016.bmp,ST-Continuous,0.9247467517852783,0.9999517798423767,0.35311143270622286,488,1382,7.736203193664551,web_dataset
R_GImag0016.bmp,ST-Bucketed,1.6150506734848022,0.9999265074729919,0.08610709117221418,119,1382,8.728844404220581,web_dataset
R_GImag0017.bmp,Original,0.6671490669250488,0.9999938011169434,0.4399421128798842,608,1382,3.6385226249694824,web_dataset
R_GImag0017.bmp,ST-Continuous,0.7821996808052063,0.9999930262565613,0.38205499276411,528,1382,10.47573184967041,web_dataset
R_GImag0017.bmp,ST-Bucketed,1.695369005203247,0.9999906420707703,0.11432706222865413,158,1382,8.335909366607666,web_dataset
R_GImag0018.bmp,Original,0.7879884243011475,0.999983549118042,0.45803183791606367,633,1382,10.420479536056519,web_dataset
R_GImag0018.bmp,ST-Continuous,0.9667149186134338,0.9999842047691345,0.35745296671490595,494,1382,23.447611093521118,web_dataset
R_GImag0018.bmp,ST-Bucketed,1.614327073097229,0.9999793767929077,0.15050651230101303,208,1382,30.056578636169434,web_dataset
R_GImag0019.bmp,Original,0.44211289286613464,0.9999768733978271,0.6201157742402316,857,1382,3.305682420730591,web_dataset
R_GImag0019.bmp,ST-Continuous,2.792330026626587,0.9982903599739075,0.5767004341534009,797,1382,7.319781303405762,web_dataset
R_GImag0019.bmp,ST-Bucketed,85.03038787841797,0.9953497052192688,0.0,0,1382,8.132500171661377,web_dataset
R_GImag0020.bmp,Original,18.895803451538086,0.9836063981056213,0.14399421128798842,199,1382,3.3167996406555176,web_dataset
R_GImag0020.bmp,ST-Continuous,5.139652729034424,0.9978369474411011,0.14978292329956586,207,1382,7.592277526855469,web_dataset
R_GImag0020.bmp,ST-Bucketed,101.96671295166016,0.7516013979911804,0.02243125904486252,31,1382,8.24532175064087,web_dataset
R_GImag0021.bmp,Original,0.5810419917106628,0.999971866607666,0.455137481910275,629,1382,3.235291004180908,web_dataset
R_GImag0021.bmp,ST-Continuous,0.8697539567947388,0.999971330165863,0.308972503617945,427,1382,7.3978798389434814,web_dataset
